,ds,y
105708,2018-09-11,3167
22758,2018-09-12,3043
129591,2018-09-13,3054
138402,2018-09-14,3088
156646,2018-09-15,3098
152641,2018-09-16,3099
146671,2018-09-17,3102
133622,2018-09-18,3131
138272,2018-09-19,3131
138422,2018-09-20,3144
138279,2018-09-21,3194
96414,2018-09-22,3205
112356,2018-09-23,3207
112073,2018-09-24,3225
113391,2018-09-25,3274
129716,2018-09-26,3340
146591,2018-09-27,3373
106818,2018-09-28,3375
129834,2018-09-29,3385
74604,2018-09-30,3389
130238,2018-10-01,3389
129951,2018-10-02,3413
112260,2018-10-03,3435
112519,2018-10-04,3453
156717,2018-10-05,3473
112568,2018-10-06,3490
146303,2018-10-07,3491
130003,2018-10-08,3495
146228,2018-10-09,3580
146322,2018-10-10,3634
130239,2018-10-11,3673
112597,2018-10-12,3695
69890,2018-10-13,3699
153011,2018-10-14,3700
113378,2018-10-15,3704
152941,2018-10-16,3728
138439,2018-10-17,3744
130399,2018-10-18,3764
156607,2018-10-19,3784
138652,2018-10-20,3789
130490,2018-10-21,3792
130388,2018-10-22,3795
69940,2018-10-23,3818
112750,2018-10-24,3845
126258,2018-10-25,3876
146483,2018-10-26,3893
112573,2018-10-27,3914
163863,2018-10-28,3922
30858,2018-10-29,3923
153081,2018-10-30,4019
152499,2018-10-31,4047
130514,2018-11-01,4063
133764,2018-11-02,4084
124935,2018-11-03,4091
106346,2018-11-04,4092
69928,2018-11-05,4095
133682,2018-11-06,4142
130507,2018-11-07,4172
85976,2018-11-08,4170
129510,2018-11-09,4172
112197,2018-11-10,4192
85489,2018-11-11,4194
85781,2018-11-12,4197
133711,2018-11-13,4215
112228,2018-11-14,4232
130499,2018-11-15,4242
112188,2018-11-16,4250
113355,2018-11-18,4235
112158,2018-11-19,4236
112276,2018-11-20,4262
86932,2018-11-21,4259
112371,2018-11-22,4259
130567,2018-11-23,4264
130277,2018-11-24,4266
85498,2018-11-25,4267
138487,2018-11-26,4267
163901,2018-11-27,4283
138444,2018-11-28,4285
108416,2018-11-29,4277
100657,2018-11-30,4252
145481,2018-12-02,4253
109663,2018-12-03,4199
128932,2018-12-04,4182
69955,2018-12-05,4124
127976,2018-12-06,4072
130477,2018-12-07,4045
125466,2018-12-09,4022
129889,2018-12-10,3971
112337,2018-12-11,3927
125825,2018-12-12,3922
158627,2018-12-13,3917
127414,2018-12-14,3913
112050,2018-12-15,3904
137549,2018-12-16,3903
137394,2018-12-17,3899
54506,2018-12-18,3900
113113,2018-12-21,3900
137782,2018-12-23,3901
41149,2018-12-24,3902
138715,2018-12-25,3903
156661,2018-12-26,3904
133825,2018-12-27,3906
158872,2018-12-28,3906
98397,2018-12-30,3905
144513,2018-12-31,3904
23165,2019-01-01,3869
110067,2019-01-02,3883
110090,2019-01-03,3887
153737,2019-01-04,3888
112946,2019-01-05,3898
138480,2019-01-06,3901
85931,2019-01-07,3872
144606,2019-01-08,4101
113258,2019-01-09,4175
146765,2019-01-10,4570
113542,2019-01-11,4644
153211,2019-01-12,4673
73602,2019-01-13,4681
131510,2019-01-14,4678
130902,2019-01-15,4873
146829,2019-01-16,4936
6813,2019-01-17,4986
86725,2019-01-18,5025
153272,2019-01-19,5074
138938,2019-01-20,5098
110026,2019-01-21,5097
146770,2019-01-22,5194
