Year,Quarter,Month,Day,Daymother - FBProphet,Daymother - SS Targets,Sum of Daymother
,,,,,4941723,77975790.3395054
2028,Qtr 4,December,17,140073.3833391482,217464,141483.5460326176
2028,Qtr 4,December,18,140100.4772181801,217686,141511.6727568735
2028,Qtr 4,December,19,140161.6646434414,217708,141573.2063692991
2028,Qtr 4,December,20,140204.7512927932,217759,141617.0632758227
2028,Qtr 4,December,21,140247.0757059864,217781,141660.2668554187
2028,Qtr 4,December,22,140292.7768713436,217847,141706.2948003227
2028,Qtr 4,December,23,140333.9306943456,217881,141748.2791832323
2028,Qtr 4,December,24,140367.6604844507,217972,141782.2980245657
2028,Qtr 4,December,25,140405.4644396857,217986,141821.2895818325
2028,Qtr 4,December,26,140477.3884565173,218102,141893.7044405674
2028,Qtr 4,December,27,140531.1351580295,218273,141948.353583431
2028,Qtr 4,December,28,140583.948158937,218274,142002.1635622485
2028,Qtr 4,December,29,140639.8810314737,218317,142058.5252498979
2028,Qtr 4,December,30,140690.9348412946,218457,142110.4949922163
2028,Qtr 4,December,31,140734.1693738071,218548,142154.0869169743
2029,Qtr 1,January,1,140781.0310243274,218563,142202.1876161516
2029,Qtr 1,January,2,140861.5256831452,,
2029,Qtr 1,January,3,140923.3275215019,218598,142345.9325105531
2029,Qtr 1,January,4,140983.662718787,218632,142407.2708517443
2029,Qtr 1,January,5,141046.5776247267,218651,142470.608729312
2029,Qtr 1,January,6,141104.0752623269,218670,142529.0064745348
2029,Qtr 1,January,7,141153.2253342532,218674,142578.4903441636
2029,Qtr 1,January,8,141205.4907525469,218743,142631.9657646393
2029,Qtr 1,January,9,141290.8990720132,218784,142717.8679412434
2029,Qtr 1,January,10,141357.149783715,218839,142785.0080756459
2029,Qtr 1,January,11,141421.4965589342,219025,142850.3263921565
2029,Qtr 1,January,12,141488.0139855188,219127,142917.2385313282
2029,Qtr 1,January,13,141548.7327471679,219150,142978.834216376
2029,Qtr 1,January,14,141600.7484484673,219236,143031.1670356584
2029,Qtr 1,January,15,141655.5471398701,219249,143087.1666418695
2029,Qtr 1,January,16,141743.1759504853,219372,143175.288531801
2029,Qtr 1,January,17,141811.3498051207,219449,143244.3596707692
2029,Qtr 1,January,18,141877.3333279549,219586,143311.3311742684
2029,Qtr 1,January,19,141945.207478542,219604,143379.6246091605
2029,Qtr 1,January,20,142007.0048662836,219645,143442.3308149622
2029,Qtr 1,January,21,142059.8189338353,219682,143495.5000753145
2029,Qtr 1,January,22,142115.1300439149,219715,143552.054919423
2029,Qtr 1,January,23,142202.9768510003,219786,143640.4406895617
2029,Qtr 1,January,24,142271.0639023023,219794,143709.4721050537
2029,Qtr 1,January,25,142336.6445337673,219831,143776.0869968835
2029,Qtr 1,January,26,142403.7885668738,219866,143843.6937334079
2029,Qtr 1,January,27,142464.5187104599,219938,143905.3711938689
2029,Qtr 1,January,28,142515.9208155761,220008,143957.1600753669
2029,Qtr 1,January,29,142569.47097619,220115,144011.9767695432
2029,Qtr 1,January,30,142655.2078177829,220249,144098.2649038378
2029,Qtr 1,January,31,142720.8408822508,220314,144164.8427401484
2029,Qtr 1,February,1,142783.6341435278,220416,144228.6575723024
2029,Qtr 1,February,2,142847.674134007,220435,144293.1336159676
2029,Qtr 1,February,3,142905.0065667689,220551,144351.3722276002
2029,Qtr 1,February,4,142952.7465894673,220561,144399.443225362
2029,Qtr 1,February,5,143002.4056580139,220620,144450.298543308
2029,Qtr 1,February,6,143084.0633750184,220668,144532.4233166696
2029,Qtr 1,February,7,143145.4752118303,220674,144594.6826018418
2029,Qtr 1,February,8,143203.9551661956,220716,144654.0748907266
2029,Qtr 1,February,9,143263.6428598149,220798,144714.0789381665
2029,Qtr 1,February,10,143316.6389908604,220871,144767.8527702587
2029,Qtr 1,February,11,143360.1143122326,221056,144811.5236827397
2029,Qtr 1,February,12,143405.6351624091,221187,144858.1005009358
2029,Qtr 1,February,13,143483.3339351027,221238,144936.1232419503
2029,Qtr 1,February,14,143541.0154490827,221552,144994.5084268431
2029,Qtr 1,February,15,143596.038312584,221593,145050.3012465097
2029,Qtr 1,February,16,143652.5808275686,221653,145107.0211425677
2029,Qtr 1,February,17,143702.7753871347,221653,145157.8597107847
2029,Qtr 1,February,18,143743.8165711597,222139,145198.9697719112
2029,Qtr 1,February,19,143787.2859962911,222152,145243.3769118697
2029,Qtr 1,February,20,143863.3223298129,222163,145319.6286562692
2029,Qtr 1,February,21,143919.7274453323,222194,145376.6395443465
2029,Qtr 1,February,22,143973.847824057,222246,145431.4433158911
2029,Qtr 1,February,23,144029.8407487001,222312,145487.5387744826
2029,Qtr 1,February,24,144079.8092374411,222486,145538.0882286881
2029,Qtr 1,February,25,144120.9109096581,222685,145579.2073424424
2029,Qtr 1,February,26,144164.6838190723,222727,145623.8776755757
2029,Qtr 1,February,27,144241.2176368479,222813,145700.5970517393
2029,Qtr 1,February,28,144298.2611299113,222824,145758.2259852261
2029,Qtr 1,March,1,144353.1050008539,222914,145813.7413417497
2029,Qtr 1,March,2,144409.8495954577,222993,145870.5837543061
2029,Qtr 1,March,3,144460.541381912,223116,145921.8576511143
2029,Qtr 1,March,4,144502.2833490238,223149,145963.6226811168
2029,Qtr 1,March,5,144546.5623149449,223179,146008.8077725576
2029,Qtr 1,March,6,144623.4214864581,223250,146085.8629181032
2029,Qtr 1,March,7,144680.5691744936,223326,146143.606877208
2029,Qtr 1,March,8,144735.2626967483,223335,146198.981934213
2029,Qtr 1,March,9,144791.5769431213,223336,146255.4022020417
